7.823	23.466
10.235	27.621
12.350	72.290
14.316	116.968
16.357	169.187
18.398	235.263
20.513	295.329
22.232	328.527
23.861	361.023
25.943	401.823
28.986	442.561
30.828	479.170
32.869	527.077
34.909	554.968
36.950	585.117
38.991	615.163
41.050	642.560
42.980	667.162
45.361	697.758
47.340	716.243
49.040	729.888
51.885	741.107
54.056	755.532
55.927	764.605
57.766	773.583
60.048	779.193
62.182	785.799
64.222	776.530
66.160	785.734
68.285	785.094
70.200	783.088
72.354	775.797
74.723	767.061
76.652	759.709
78.624	754.359
80.796	743.256
82.589	737.225
84.075	731.379
85.929	729.749
88.712	722.793
